Hour,Day_Num,Month,Is_Weekend,Is_Night,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,PC1,PC2,Primary_Type
16,6,8,1,0,5,41.961253689,-87.697657333,17,33,1724,16,0,0,2.167216812963011,1.9395092136986325,ASSAULT
23,5,2,1,1,2,41.768471889,-87.612913929,3,6,322,69,0,0,-2.609522141990423,1.6632362418851516,OTHER OFFENSE
8,1,8,0,0,3,41.966338818,-87.679114943,19,47,1911,4,0,0,2.9661704268385494,-1.346339473648199,BATTERY
17,1,9,0,0,6,41.653736007,-87.595407587,5,10,533,54,0,1,-2.9996589603311388,-0.996287685622088,ARSON
1,5,10,1,1,3,41.776025923,-87.607088217,3,20,321,42,0,0,-1.8034451284964619,1.9494744826977102,DECEPTIVE PRACTICE
4,5,8,1,1,2,41.862897867,-87.711224399,10,24,1021,29,0,0,0.46049377849888073,1.8795006887475298,BURGLARY
20,6,6,1,1,3,41.852198325,-87.674377204,10,25,1034,31,1,0,0.19200733666975173,2.0779095245617585,THEFT
17,4,11,0,0,3,41.963147421,-87.687861744,19,47,1911,4,0,0,3.0086503007414445,-0.43730178150942195,MOTOR VEHICLE THEFT
17,4,6,0,0,3,41.850517353,-87.627031661,1,3,131,33,0,0,-1.9273994860352117,-0.41233158307793116,MOTOR VEHICLE THEFT
3,5,2,1,1,6,41.953958097,-87.701365724,17,33,1724,16,0,1,1.9424383670680634,2.4014828735711213,THEFT
17,2,10,0,0,6,41.882167028,-87.711044863,11,28,1123,27,0,0,0.6882478230154933,-0.9005953535109503,CRIMINAL DAMAGE
17,3,5,0,0,3,41.771674133,-87.572421309,3,5,331,43,0,1,-2.647958379832914,-0.5127357432281342,CRIMINAL DAMAGE
16,0,6,0,0,3,41.891990384,-87.611461502,18,42,1834,8,0,0,1.891415089868226,-1.7899889699516927,THEFT
8,2,7,0,0,3,41.718652011,-87.666135538,22,19,2213,72,0,0,0.09365633479441077,-0.933305475967701,BURGLARY
19,5,5,1,0,5,41.748637183,-87.656418152,6,17,612,71,0,0,-1.8873716334643187,1.5956818636693995,BURGLARY
20,6,8,1,1,7,41.751015284,-87.620816057,6,6,623,69,0,0,-2.443765307715655,2.3521045461457004,DECEPTIVE PRACTICE
23,2,9,0,1,3,41.873200953,-87.658923982,12,34,1231,28,0,0,0.7342093719778525,-0.8683438150779195,MOTOR VEHICLE THEFT
16,6,2,1,0,7,41.909283882,-87.773062964,25,29,2531,25,0,0,3.0189585343517202,2.1353778400503822,CRIMINAL DAMAGE
19,6,11,1,0,6,41.867234401,-87.641301791,1,28,124,28,0,0,-1.011280728564534,1.935594792554841,CRIMINAL DAMAGE
15,4,10,0,0,3,41.741950206,-87.721671014,8,18,834,70,0,0,-1.2186948065629726,-0.348817052520772,THEFT
8,4,4,0,0,3,41.832071291,-87.616978684,2,4,211,35,0,0,-1.96418156628408,-0.2934437123239213,THEFT
10,3,7,0,0,5,41.749560291,-87.662205914,6,17,612,71,0,0,-1.8867637011041405,-0.5098078266085528,BATTERY
21,2,6,0,1,3,41.772292259,-87.657214289,7,17,724,67,0,0,-1.5504910303106856,-0.8049250676390266,CRIMINAL TRESPASS
18,1,12,0,0,3,41.938245886,-87.721853351,25,35,2523,21,0,0,3.184600411804176,-1.4483349528287688,INTERFERENCE WITH PUBLIC OFFICER
8,6,12,1,0,6,41.726032339,-87.581810629,4,8,413,48,0,1,-2.780434738939688,2.328849154087126,THEFT
2,3,8,0,1,5,41.746722291,-87.622886318,6,6,631,44,0,0,-2.021395579142895,-0.11643651948260461,ASSAULT
22,6,1,1,1,3,41.750539778,-87.608848768,6,6,624,44,0,0,-1.9667215384554304,2.082312484656562,ROBBERY
17,3,8,0,0,2,41.974861952,-87.890372151,16,41,1655,76,0,0,2.538938383542114,-0.7476640605043402,MOTOR VEHICLE THEFT
8,1,2,0,0,2,41.751516641,-87.583173571,4,8,414,46,1,0,-2.335737801664513,-1.3857500139246093,BATTERY
1,6,4,1,1,5,41.932672488,-87.675695789,19,32,1931,5,0,0,2.2943074115332127,2.448617034191121,CRIMINAL DAMAGE
17,5,9,1,0,3,41.983266316,-87.677893446,20,40,2012,4,0,0,2.998987827981586,1.4383296814750537,THEFT
