Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.882167028,-87.711044863,0,ASSAULT,1,0,1,6
41.771674133,-87.572421309,0,CRIMINAL DAMAGE,5,0,7,3
41.891990384,-87.611461502,0,THEFT,0,0,6,3
41.718652011,-87.666135538,0,THEFT,6,0,5,3
41.748637183,-87.656418152,0,MOTOR VEHICLE THEFT,6,0,0,5
41.751015284,-87.620816057,0,ROBBERY,2,0,3,7
41.873200953,-87.658923982,0,THEFT,0,0,6,3
41.909283882,-87.773062964,0,SEX OFFENSE,3,0,4,7
41.867234401,-87.641301791,0,BATTERY,0,0,6,6
41.741950206,-87.721671014,0,THEFT,7,0,0,3
41.832071291,-87.616978684,0,CRIMINAL DAMAGE,2,0,3,3
41.749560291,-87.662205914,0,OFFENSE INVOLVING CHILDREN,6,0,0,5
41.772292259,-87.657214289,0,THEFT,2,0,0,3
41.938245886,-87.721853351,0,DECEPTIVE PRACTICE,1,0,1,3
41.726032339,-87.581810629,0,BATTERY,5,0,7,6
41.746722291,-87.622886318,0,MOTOR VEHICLE THEFT,6,0,3,5
41.750539778,-87.608848768,0,THEFT,2,0,3,3
41.974861952,-87.890372151,0,PUBLIC PEACE VIOLATION,3,1,4,2
41.751516641,-87.583173571,1,OTHER OFFENSE,5,0,7,2
41.932672488,-87.675695789,0,BURGLARY,4,0,2,5
41.983266316,-87.677893446,0,CRIMINAL DAMAGE,4,0,2,3
41.911716715,-87.772795537,0,BATTERY,3,0,4,6
41.918775112,-87.744867772,0,ASSAULT,3,0,1,6
41.872019169,-87.751421116,0,MOTOR VEHICLE THEFT,1,0,1,5
41.779620623,-87.653679946,1,BATTERY,2,0,0,6
41.943995904,-87.707753336,0,MOTOR VEHICLE THEFT,4,0,1,5
41.742991296,-87.632025815,0,THEFT,6,0,3,3
41.769148666,-87.584423485,0,THEFT,5,0,7,3
41.892622637,-87.704001773,0,MOTOR VEHICLE THEFT,1,0,1,5
41.802064797,-87.618640688,0,CRIMINAL DAMAGE,2,0,3,3
41.777740745,-87.631760999,1,CRIMINAL DAMAGE,2,0,0,3
41.763456466,-87.579306774,0,OTHER OFFENSE,5,0,7,2
41.819446427,-87.619867204,0,THEFT,2,0,3,3
41.958205249,-87.705706239,0,DECEPTIVE PRACTICE,4,0,1,3
41.837566517,-87.647294804,0,CRIMINAL DAMAGE,0,0,3,3
41.90174914,-87.726275422,0,ASSAULT,1,0,1,6
41.931389677,-87.757184491,0,BURGLARY,3,0,4,5
41.737745455,-87.558730367,0,BATTERY,5,0,7,6
41.858594819,-87.627214427,0,CRIMINAL DAMAGE,0,0,3,3
41.788987036,-87.74147999,0,DECEPTIVE PRACTICE,7,0,0,3
41.679042758,-87.623924058,0,MOTOR VEHICLE THEFT,6,0,5,5
41.749574714,-87.557704997,0,BATTERY,5,0,7,6
41.883500187,-87.627876698,1,THEFT,0,0,6,3
41.892017399,-87.624165306,0,DECEPTIVE PRACTICE,0,0,6,3
41.88565961,-87.647764729,0,CRIMINAL DAMAGE,0,0,6,3
41.882553868,-87.624383802,0,THEFT,0,0,6,3
41.762429136,-87.651621855,0,THEFT,6,0,0,3
41.93054576,-87.744994797,0,THEFT,3,0,1,3
41.901267158,-87.76231515,1,BATTERY,3,0,1,6
41.772296804,-87.620290973,0,BATTERY,2,0,3,6
41.822817641,-87.693202398,1,WEAPONS VIOLATION,7,0,0,5
41.7515006,-87.585343286,0,WEAPONS VIOLATION,5,0,7,5
41.769683848,-87.666376817,0,NARCOTICS,7,0,0,4
41.932759488,-87.668407152,0,DECEPTIVE PRACTICE,4,0,2,3
41.769063592,-87.571484404,1,BATTERY,5,0,7,6
41.80859321,-87.665577234,1,THEFT,7,0,0,3
41.907056567,-87.634586291,0,OTHER OFFENSE,0,0,6,2
41.977162203,-87.657835554,0,ROBBERY,4,0,2,7
41.913193235,-87.648344566,0,THEFT,0,0,6,3
41.878886971,-87.724226209,0,ASSAULT,1,0,1,6
41.735684302,-87.608326943,0,BATTERY,6,0,3,6
41.969078381,-87.65560801,0,THEFT,4,0,2,3
41.754270987,-87.64482916,0,ASSAULT,6,0,5,6
41.881742451,-87.750958339,1,BATTERY,1,0,1,6
41.92968145,-87.794206521,0,BATTERY,3,0,4,6
41.872307808,-87.742914955,0,CRIMINAL DAMAGE,1,0,1,3
41.89318177,-87.6345943,0,ASSAULT,0,0,6,6
41.759507932,-87.6597822,0,CRIMINAL DAMAGE,6,0,0,3
41.701937844,-87.560797155,0,BURGLARY,5,0,7,5
41.910457302,-87.678940081,0,THEFT,4,0,2,3
41.764188634,-87.592295942,0,CRIMINAL DAMAGE,5,0,7,3
41.812505323,-87.604434996,0,CRIMINAL DAMAGE,2,0,3,3
41.809518931,-87.607370281,0,CRIMINAL DAMAGE,2,0,3,3
41.682627045,-87.674195589,0,BATTERY,6,0,5,6
41.893285756,-87.656538409,0,OTHER OFFENSE,0,0,6,2
41.737496318,-87.587861731,1,DECEPTIVE PRACTICE,5,0,7,3
41.741526601,-87.705713833,0,MOTOR VEHICLE THEFT,7,0,0,5
41.753792523,-87.728005128,0,DECEPTIVE PRACTICE,7,0,0,3
41.802604981,-87.676968822,1,WEAPONS VIOLATION,7,0,0,5
41.848930483,-87.690457331,0,DECEPTIVE PRACTICE,1,0,1,3
41.794406612,-87.583931489,0,CRIMINAL TRESPASS,2,0,3,3
41.834086398,-87.64860894,0,BATTERY,0,0,3,6
42.003537812,-87.671224782,0,CRIMINAL DAMAGE,4,0,2,3
